nCount_RNA	limbtype	Pitx1
10555	HLWT	0
7795	HLWT	12
5763	HLWT	6
9254	HLWT	16
11950	HLWT	4
7569	HLWT	4
8720	HLWT	4
6351	HLWT	7
3630	HLWT	0
7495	HLWT	7
11648	HLWT	8
6992	HLWT	1
8305	HLWT	5
5176	HLWT	1
8834	HLWT	0
7776	HLWT	1
28148	HLWT	6
9095	HLWT	2
9335	HLWT	2
8647	HLWT	10
10002	HLWT	0
8418	HLWT	1
10880	HLWT	4
5853	HLWT	8
11352	HLWT	4
5081	HLWT	3
5204	HLWT	4
5076	HLWT	0
12836	HLWT	0
14597	HLWT	1
7528	HLWT	3
6533	HLWT	4
4069	HLWT	1
10410	HLWT	5
11366	HLWT	1
10096	HLWT	1
4478	HLWT	3
7854	HLWT	6
3911	HLWT	0
9866	HLWT	5
8461	HLWT	3
6908	HLWT	1
10055	HLWT	3
14244	HLWT	2
8708	HLWT	3
12636	HLWT	2
9755	HLWT	2
10253	HLWT	6
4367	HLWT	2
18114	HLWT	3
6428	HLWT	0
9247	HLWT	0
6019	HLWT	7
9489	HLWT	0
9501	HLWT	9
16425	HLWT	1
8856	HLWT	1
5235	HLWT	1
17696	HLWT	6
7859	HLWT	3
10403	HLWT	0
5186	HLWT	0
12405	HLWT	9
15893	HLWT	4
9595	HLWT	0
9329	HLWT	6
8097	HLWT	0
4359	HLWT	3
24740	HLWT	0
5946	HLWT	0
5522	HLWT	3
10967	HLWT	5
9541	HLWT	21
10271	HLWT	0
9381	HLWT	2
8942	HLWT	8
11392	HLWT	6
16825	HLWT	3
15208	HLWT	0
11185	HLWT	0
8192	HLWT	1
11014	HLWT	2
5977	HLWT	1
7096	HLWT	7
8531	HLWT	9
11058	HLWT	1
8793	HLWT	5
6391	HLWT	0
14939	HLWT	0
7824	HLWT	1
14055	HLWT	2
2484	HLWT	0
7276	HLWT	0
10065	HLWT	3
12245	HLWT	0
4573	HLWT	0
15004	HLWT	11
4759	HLWT	0
6320	HLWT	4
4428	HLWT	5
9597	HLWT	16
4959	HLWT	0
12647	HLWT	4
6595	HLWT	3
13065	HLWT	0
6455	HLWT	2
4953	HLWT	0
5122	HLWT	0
10094	HLWT	2
16833	HLWT	4
7838	HLWT	6
8235	HLWT	1
8468	HLWT	0
11155	HLWT	2
10101	HLWT	1
4522	HLWT	0
6739	HLWT	0
7633	HLWT	0
10193	HLWT	0
9295	HLWT	18
9022	HLWT	1
5886	HLWT	2
19084	HLWT	5
5965	HLWT	1
9756	HLWT	6
8694	HLWT	0
4485	HLWT	2
11163	HLWT	7
5745	HLWT	2
12621	HLWT	3
6786	HLWT	6
5504	HLWT	2
4451	HLWT	2
11052	HLWT	7
3637	HLWT	1
7089	HLWT	0
10955	HLWT	0
10167	HLWT	4
20165	HLWT	0
3512	HLWT	0
6654	HLWT	0
10346	HLWT	2
8402	HLWT	6
8314	HLWT	0
7085	HLWT	3
8952	HLWT	3
11092	HLWT	2
14206	HLWT	10
7697	HLWT	0
17877	HLWT	2
11221	HLWT	0
8071	HLWT	0
6418	HLWT	3
7209	HLWT	2
7536	HLWT	1
12017	HLWT	1
4983	HLWT	1
7280	HLWT	1
5561	HLWT	1
10689	HLWT	4
18165	HLWT	9
14278	HLWT	6
6806	HLWT	0
14768	HLWT	1
12898	HLWT	3
5149	HLWT	1
5835	HLWT	1
8447	HLWT	2
7691	HLWT	5
10399	HLWT	10
7048	HLWT	0
9685	HLWT	5
13154	HLWT	1
20016	HLWT	15
6255	HLWT	2
2515	HLWT	2
7405	HLWT	6
15298	HLWT	2
16181	HLWT	0
7773	HLWT	7
9067	HLWT	0
13170	HLWT	0
6597	HLWT	0
6358	HLWT	1
11454	HLWT	4
18447	HLWT	0
10162	HLWT	0
11911	HLWT	5
7052	HLWT	8
21248	HLWT	3
4413	HLWT	2
14026	HLWT	2
13329	HLWT	2
11672	HLWT	15
10340	HLWT	3
11346	HLWT	3
6574	HLWT	3
10790	HLWT	0
11503	HLWT	1
12743	HLWT	11
8708	HLWT	4
12460	HLWT	6
2983	HLWT	2
4570	HLWT	1
8976	HLWT	1
5883	HLWT	1
15685	HLWT	0
3243	HLWT	2
5787	HLWT	0
4353	HLWT	1
25421	HLWT	0
7491	HLWT	0
15117	HLWT	6
6063	HLWT	5
9610	HLWT	5
12680	HLWT	0
10781	HLWT	0
7279	HLWT	2
12390	HLWT	1
3161	HLWT	2
9786	HLWT	0
3816	HLWT	10
14066	HLWT	4
10932	HLWT	0
7045	HLWT	1
4146	HLWT	0
11527	HLWT	10
12160	HLWT	2
12100	HLWT	7
8326	HLWT	1
5726	HLWT	0
8135	HLWT	3
14361	HLWT	8
10398	HLWT	1
11697	HLWT	0
8537	HLWT	4
9007	HLWT	2
7027	HLWT	3
9251	HLWT	8
7164	HLWT	0
18465	HLWT	6
9132	HLWT	0
15105	HLWT	1
15086	HLWT	7
21102	HLWT	0
6518	HLWT	0
2639	HLWT	1
27837	HLWT	0
19459	HLWT	4
5472	HLWT	1
6189	HLWT	1
7719	HLWT	6
1009	HLWT	1
10287	HLWT	2
12785	HLWT	2
4448	HLWT	1
9534	HLWT	1
6975	HLWT	1
15282	HLWT	0
7029	HLWT	2
8414	HLWT	2
4417	HLWT	0
11215	HLWT	1
5921	HLWT	5
8028	HLWT	0
24809	HLWT	0
10111	HLWT	5
4691	HLWT	4
2971	HLWT	2
8161	HLWT	5
9742	HLWT	1
14533	HLWT	7
7556	HLWT	5
9564	HLWT	2
14120	HLWT	2
7969	HLWT	5
10166	HLWT	4
6346	HLWT	1
5190	HLWT	3
8286	HLWT	2
6360	HLWT	3
5428	HLWT	1
8733	HLWT	0
13514	HLWT	1
8625	HLWT	0
11285	HLWT	1
11158	HLWT	3
18933	HLWT	8
6543	HLWT	1
7185	HLWT	0
15664	HLWT	17
12947	HLWT	5
8544	HLWT	0
6622	HLWT	1
4729	HLWT	1
10033	HLWT	7
7985	HLWT	0
8238	HLWT	4
10144	HLWT	7
9035	HLWT	1
12069	HLWT	6
10789	HLWT	0
4765	HLWT	1
8186	HLWT	6
11514	HLWT	13
8351	HLWT	0
2244	HLWT	0
14069	HLWT	11
16305	HLWT	1
8361	HLWT	2
4791	HLWT	2
6983	HLWT	2
10214	HLWT	0
6817	HLWT	3
14672	HLWT	5
8049	HLWT	4
4002	HLWT	4
6645	HLWT	1
8917	HLWT	0
8026	HLWT	1
5852	HLWT	2
7685	HLWT	5
7767	HLWT	5
9735	HLWT	1
13271	HLWT	9
12549	HLWT	1
12766	HLWT	4
8405	HLWT	0
8038	HLWT	7
9905	HLWT	14
8659	HLWT	2
8463	HLWT	0
3474	HLWT	0
5001	HLWT	0
3678	HLWT	0
9694	HLWT	3
7732	HLWT	1
5845	HLWT	1
10242	HLWT	2
22342	HLWT	0
8459	HLWT	0
11967	HLWT	3
6908	HLWT	1
25439	HLWT	0
7033	HLWT	0
4496	HLWT	1
17674	HLWT	3
18052	HLWT	9
3802	HLWT	0
4395	HLWT	1
9983	HLWT	6
11065	HLWT	3
13378	HLWT	3
4393	HLWT	4
8237	HLWT	2
4602	HLWT	1
5445	HLWT	2
4666	HLWT	1
11129	HLWT	0
10839	HLWT	1
8835	HLWT	0
23061	HLWT	0
7814	HLWT	5
14175	HLWT	3
14363	HLWT	0
10166	HLWT	1
11664	HLWT	6
7246	HLWT	3
6316	HLWT	2
10871	HLWT	7
6842	HLWT	3
5117	HLWT	2
5838	HLWT	2
4979	HLWT	0
13035	HLWT	6
6523	HLWT	4
26207	HLWT	0
8702	HLWT	1
13557	HLWT	12
9452	HLWT	0
21994	HLWT	7
5419	HLWT	2
7621	HLWT	3
5580	HLWT	0
9942	HLWT	2
5024	HLWT	0
4098	HLWT	0
7567	HLWT	9
6843	HLWT	1
8003	HLWT	0
10616	HLWT	1
8231	HLWT	1
17361	HLWT	1
9114	HLWT	0
7834	HLWT	4
10411	HLWT	3
7771	HLWT	0
6341	HLWT	4
5356	HLWT	5
7477	HLWT	5
6338	HLWT	0
9819	HLWT	0
9709	HLWT	0
7508	HLWT	0
12119	HLWT	1
5920	HLWT	5
6083	HLWT	0
10314	HLWT	0
10983	HLWT	1
7410	HLWT	0
10928	HLWT	0
7755	HLWT	0
6713	HLWT	0
6535	HLWT	8
8231	HLWT	0
10505	HLWT	1
7720	HLWT	0
14759	HLWT	24
11164	HLWT	2
5145	HLWT	1
10494	HLWT	3
7248	HLWT	0
8146	HLWT	3
7924	HLWT	6
14664	HLWT	1
6403	HLWT	2
5940	HLWT	0
8466	HLWT	3
14579	HLWT	0
24736	HLWT	14
6537	HLWT	1
10227	HLWT	7
5715	HLWT	8
16076	HLWT	6
7058	HLWT	3
8470	HLWT	0
16613	HLWT	9
9677	HLWT	15
10994	HLWT	2
1305	HLWT	2
7082	HLWT	9
9787	HLWT	7
6148	HLWT	0
6228	HLWT	5
9257	HLWT	10
9602	HLWT	0
19460	HLWT	3
4580	HLWT	0
7780	HLWT	0
15583	HLWT	3
2004	HLWT	0
10062	HLWT	0
7222	HLWT	4
3986	HLWT	2
10166	HLWT	8
7876	HLWT	0
6284	HLWT	8
8261	HLWT	1
5730	HLWT	1
6003	HLWT	0
9338	HLWT	3
18377	HLWT	4
6596	HLWT	3
26564	HLWT	13
15239	HLWT	0
13137	HLWT	4
15886	HLWT	2
10096	HLWT	1
7280	HLWT	3
6573	HLWT	0
8979	HLWT	3
6444	HLWT	2
5902	HLWT	0
8034	HLWT	4
6509	HLWT	0
12181	HLWT	4
12502	HLWT	0
4756	HLWT	2
13694	HLWT	5
8551	HLWT	2
13209	HLWT	8
9470	HLWT	8
25980	HLWT	21
5262	HLWT	0
6052	HLWT	2
6285	HLWT	0
12642	HLWT	0
7476	HLWT	3
17405	HLWT	1
10425	HLWT	5
9616	HLWT	7
9776	HLWT	4
10333	HLWT	0
21586	HLWT	0
5642	HLWT	0
9301	HLWT	1
14285	HLWT	2
8787	HLWT	6
13053	HLWT	1
10914	HLWT	1
8742	HLWT	0
9459	HLWT	6
7083	HLWT	0
20369	HLWT	0
7208	HLWT	1
12002	HLWT	0
14586	HLWT	6
5448	HLWT	0
8068	HLWT	3
18051	HLWT	7
3341	HLWT	2
5508	HLWT	3
16386	HLWT	6
16867	HLWT	15
13938	HLWT	0
9160	HLWT	9
9307	HLWT	7
8622	HLWT	0
4302	HLWT	1
7507	HLWT	1
8778	HLWT	6
24496	HLWT	0
5277	HLWT	2
11886	HLWT	4
11077	HLWT	2
8562	HLWT	2
5448	HLWT	1
12097	HLWT	0
18536	HLWT	6
9475	HLWT	2
6503	HLWT	2
19441	HLWT	2
6001	HLWT	7
11556	HLWT	1
17383	HLWT	0
15011	HLWT	3
5132	HLWT	2
4703	HLWT	0
10439	HLWT	3
6869	HLWT	7
8982	HLWT	0
9431	HLWT	0
14900	HLWT	0
6918	HLWT	6
7286	HLWT	0
7414	HLWT	10
3661	HLWT	1
17068	HLWT	4
8432	HLWT	0
6047	HLWT	1
5931	HLWT	1
13637	HLWT	2
14090	HLWT	0
4702	HLWT	3
7204	HLWT	1
28846	HLWT	0
18481	HLWT	8
12485	HLWT	6
21378	HLWT	0
4194	HLWT	1
6047	HLWT	2
6098	HLWT	10
6705	HLWT	1
6925	HLWT	3
15500	HLWT	6
18652	HLWT	0
19477	HLWT	8
7717	HLWT	2
11827	HLWT	6
9512	HLWT	2
5966	HLWT	0
11996	HLWT	9
1081	HLWT	0
6574	HLWT	2
5207	HLWT	0
10615	HLWT	5
14597	HLWT	18
8542	HLWT	2
14986	HLWT	0
16931	HLWT	2
895	HLWT	0
7748	HLWT	5
12269	HLWT	6
5431	HLWT	0
12361	HLWT	0
11738	HLWT	1
15449	HLWT	3
10392	HLWT	0
2192	HLWT	0
5085	HLWT	0
7197	HLWT	3
6085	HLWT	0
9765	HLWT	0
8895	HLWT	1
13566	HLWT	6
5435	HLWT	0
8616	HLWT	7
8885	HLWT	2
15134	HLWT	0
8261	HLWT	0
10815	HLWT	1
5311	HLWT	5
5185	HLWT	7
5482	HLWT	0
2869	HLWT	0
6363	HLWT	1
8890	HLWT	5
14740	HLWT	2
7757	HLWT	4
6245	HLWT	0
7383	HLWT	0
10711	HLWT	0
6792	HLWT	23
11985	HLWT	2
5441	HLWT	2
13579	HLWT	0
9612	HLWT	1
7413	HLWT	3
5046	HLWT	0
6015	HLWT	5
9085	HLWT	2
8074	HLWT	0
10553	HLWT	4
5028	HLWT	1
11187	HLWT	1
14688	HLWT	1
4261	HLWT	1
8760	HLWT	2
4626	HLWT	3
4854	HLWT	1
16766	HLWT	0
14434	HLWT	2
9595	HLWT	1
12070	HLWT	2
6457	HLWT	7
6079	HLWT	3
5898	HLWT	0
6807	HLWT	0
14948	HLWT	0
7597	HLWT	1
11304	HLWT	5
8155	HLWT	0
6504	HLWT	2
7673	HLWT	0
6765	HLWT	2
6133	HLWT	1
9863	HLWT	4
3888	HLWT	0
11457	HLWT	0
8779	HLWT	0
4504	HLWT	0
10866	HLWT	2
7591	HLWT	2
6278	HLWT	0
1114	HLWT	0
6348	HLWT	2
15773	HLWT	2
8972	HLWT	3
8902	HLWT	1
16372	HLWT	0
7556	HLWT	4
7243	HLWT	5
7997	HLWT	1
20132	HLWT	5
7061	HLWT	1
7762	HLWT	1
4470	HLWT	0
9352	HLWT	3
10608	HLWT	1
6748	HLWT	5
10034	HLWT	9
12496	HLWT	0
15141	HLWT	1
12020	HLWT	5
7526	HLWT	0
10253	HLWT	6
18966	HLWT	5
5285	HLWT	2
4940	HLWT	2
5632	HLWT	0
11673	HLWT	7
10695	HLWT	3
6610	HLWT	0
19424	HLWT	0
8417	HLWT	6
4164	HLWT	2
4898	HLWT	2
9143	HLWT	0
10907	HLWT	0
10515	HLWT	9
3675	HLWT	1
6816	HLWT	2
3557	HLWT	4
13677	HLWT	0
8688	HLWT	4
4952	HLWT	2
2414	HLWT	0
7594	HLWT	0
9244	HLWT	2
9868	HLWT	1
10914	HLWT	3
8060	HLWT	1
9497	HLWT	15
4004	HLWT	1
16731	HLWT	10
9754	HLWT	11
9845	HLWT	5
14680	HLWT	5
5844	HLWT	1
7391	HLWT	0
10483	HLWT	3
2077	HLWT	0
6262	HLWT	2
5086	HLWT	3
13217	HLWT	2
5657	HLWT	5
13980	HLWT	0
7244	HLWT	0
6758	HLWT	2
4161	HLWT	3
5668	HLWT	1
5331	HLWT	5
1151	HLWT	1
5474	HLWT	0
7256	HLWT	11
8784	HLWT	0
10511	HLWT	0
7744	HLWT	2
19693	HLWT	1
13039	HLWT	0
12479	HLWT	3
7365	HLWT	14
7910	HLWT	9
20603	HLWT	0
11035	HLWT	0
6246	HLWT	1
2635	HLWT	5
8533	HLWT	4
9132	HLWT	0
11125	HLWT	0
7208	HLWT	6
8567	HLWT	6
3653	HLWT	0
9008	HLWT	4
5629	HLWT	1
8083	HLWT	4
11931	HLWT	0
5434	HLWT	1
7599	HLWT	2
12124	HLWT	0
7288	HLWT	1
4264	HLWT	0
6788	HLWT	6
11064	HLWT	4
4628	HLWT	0
4711	HLWT	4
6865	HLWT	0
15511	HLWT	3
13470	HLWT	6
8785	HLWT	1
5621	HLWT	1
11843	HLWT	9
8665	HLWT	9
6647	HLWT	1
6900	HLWT	2
5752	HLWT	0
8101	HLWT	5
8942	HLWT	6
34892	HLWT	0
5995	HLWT	2
8778	HLWT	2
14411	HLWT	0
8625	HLWT	1
4947	HLWT	1
10213	HLWT	4
12271	HLWT	6
11072	HLWT	9
12813	HLWT	2
3429	HLWT	1
14558	HLWT	2
7707	HLWT	0
6437	HLWT	2
6258	HLWT	1
11928	HLWT	3
11973	HLWT	1
3829	HLWT	1
5899	HLWT	3
5846	HLWT	2
20399	HLWT	0
6842	HLWT	1
5278	HLWT	5
5921	HLWT	1
5341	HLWT	1
7221	HLWT	0
10559	HLWT	0
14667	HLWT	0
5515	HLWT	0
9567	HLWT	4
10737	HLWT	2
12447	HLWT	14
5279	HLWT	1
10626	HLWT	1
5059	HLWT	2
5871	HLWT	4
4264	HLWT	0
6129	HLWT	4
6812	HLWT	2
7840	HLWT	0
8720	HLWT	0
16654	HLWT	1
5695	HLWT	3
14080	HLWT	9
9106	HLWT	5
11533	HLWT	2
13580	HLWT	3
12021	HLWT	6
2708	HLWT	0
8648	HLWT	3
12131	HLWT	9
11718	HLWT	2
15806	HLWT	1
6202	HLWT	1
10187	HLWT	0
10338	HLWT	2
10807	HLWT	2
14271	HLWT	7
6534	HLWT	0
9324	HLWT	11
6897	HLWT	0
7384	HLWT	1
17239	HLWT	0
7294	HLWT	0
16272	HLWT	13
8803	HLWT	0
9427	HLWT	6
11497	HLWT	7
7430	HLWT	6
7941	HLWT	2
8559	HLWT	0
9062	HLWT	1
5327	HLWT	0
8992	HLWT	9
7249	HLWT	0
5822	HLWT	1
7359	HLWT	10
12253	HLWT	4
5816	HLWT	0
24681	HLWT	0
7033	HLWT	2
7529	HLWT	1
4237	HLWT	0
12004	HLWT	4
5939	HLWT	1
4859	HLWT	0
20374	HLWT	3
7097	HLWT	1
7736	HLWT	2
3792	HLWT	3
5398	HLWT	0
7803	HLWT	0
6412	HLWT	0
13961	HLWT	11
10597	HLWT	10
7476	HLWT	1
4585	HLWT	4
9093	HLWT	0
4717	HLWT	0
7136	HLWT	4
8861	HLWT	1
10729	HLWT	3
11358	HLWT	1
7615	HLWT	1
14323	HLWT	0
9157	HLWT	1
12834	HLWT	5
7774	HLWT	8
11600	HLWT	3
6193	HLWT	4
11593	HLWT	22
12563	HLWT	1
8519	HLWT	0
6625	HLWT	2
7752	HLWT	3
12902	HLWT	13
19475	HLWT	3
5912	HLWT	2
8794	HLWT	1
9952	HLWT	1
6810	HLWT	4
11515	HLWT	3
1504	HLWT	1
10904	HLWT	3
10496	HLWT	0
11987	HLWT	4
12040	HLWT	3
5810	HLWT	1
3899	HLWT	0
7800	HLWT	1
5119	HLWT	1
14302	HLWT	26
8729	HLWT	2
7378	HLWT	9
9477	HLWT	11
3997	HLWT	0
6151	HLWT	0
6863	HLWT	0
7597	HLWT	2
5025	HLWT	1
3191	HLWT	0
5460	HLWT	3
15799	HLWT	5
4740	HLWT	0
7496	HLWT	2
4481	HLWT	2
12004	HLWT	0
11177	HLWT	2
14485	HLWT	17
10569	HLWT	2
4930	HLWT	1
26213	HLWT	0
18269	HLWT	3
8568	HLWT	1
3708	HLWT	3
13211	HLWT	0
19591	HLWT	4
12580	HLWT	3
5962	HLWT	1
16213	HLWT	2
23212	HLWT	11
6534	HLWT	5
8903	HLWT	0
21314	HLWT	0
8669	HLWT	1
9233	HLWT	3
6030	HLWT	0
3412	HLWT	1
5855	HLWT	3
5391	HLWT	1
5727	HLWT	0
15700	HLWT	0
6659	HLWT	5
5172	HLWT	0
11879	HLWT	5
15444	HLWT	4
9216	HLWT	2
14519	HLWT	0
8481	HLWT	12
13484	HLWT	0
9739	HLWT	5
6793	HLWT	0
8979	HLWT	0
11306	HLWT	8
12608	HLWT	2
6642	HLWT	1
4908	HLWT	3
12901	HLWT	0
13161	HLWT	1
6169	HLWT	2
9740	HLWT	3
8387	HLWT	0
4923	HLWT	2
4269	HLWT	3
7417	HLWT	2
7521	HLWT	1
8149	HLWT	0
13439	HLWT	3
3529	HLWT	0
5113	HLWT	0
5152	HLWT	1
9018	HLWT	0
8776	HLWT	1
18311	HLWT	4
9281	HLWT	0
5940	HLWT	9
4810	HLWT	4
11082	HLWT	1
5624	HLWT	0
4925	HLWT	0
5276	HLWT	1
16031	HLWT	0
6204	HLWT	0
2085	HLWT	0
3835	HLWT	2
5077	HLWT	1
6067	HLWT	1
4631	HLWT	2
5120	HLWT	1
3116	HLWT	0
6025	HLWT	5
6741	HLWT	1
8830	HLWT	7
11250	HLWT	3
13107	HLWT	1
11493	HLWT	3
7978	HLWT	16
7785	HLWT	9
10307	HLWT	2
6876	HLWT	0
15177	HLWT	4
4617	HLWT	8
7144	HLWT	9
13378	HLWT	0
5286	HLWT	1
5242	HLWT	2
9467	HLWT	10
10230	HLWT	0
4589	HLWT	0
5446	HLWT	2
8207	HLWT	1
9080	HLWT	4
5384	HLWT	0
4903	HLWT	2
10765	HLWT	5
18147	HLWT	2
6365	HLWT	4
3273	HLWT	0
7425	HLWT	0
8635	HLWT	4
4907	HLWT	0
8999	HLWT	4
4256	HLWT	0
8509	HLWT	5
6438	HLWT	2
12520	HLWT	14
13534	HLWT	0
19518	HLWT	0
9850	HLWT	1
8351	HLWT	0
8213	HLWT	1
3753	HLWT	1
6313	HLWT	1
7482	HLWT	0
14230	HLWT	0
7283	HLWT	0
6018	HLWT	5
3375	HLWT	0
5055	HLWT	1
10481	HLWT	8
7324	HLWT	0
7757	HLWT	0
9644	HLWT	11
10566	HLWT	10
5346	HLWT	0
6909	HLWT	0
9714	HLWT	1
3970	HLWT	5
13895	HLWT	3
6618	HLWT	0
12360	HLWT	0
6482	HLWT	0
32531	HLWT	0
8004	HLWT	1
3430	HLWT	1
11084	HLWT	1
6715	HLWT	6
5859	HLWT	2
12316	HLWT	5
6956	HLWT	0
4776	HLWT	0
6977	HLWT	2
1803	HLWT	1
8619	HLWT	1
17519	HLWT	15
10605	HLWT	3
11253	HLWT	0
17734	HLWT	4
7719	HLWT	2
6769	HLWT	0
11597	HLWT	2
14255	HLWT	11
8044	HLWT	1
3400	HLWT	0
16023	HLWT	2
6948	HLWT	5
6258	HLWT	1
5810	HLWT	3
6301	HLWT	1
27675	HLWT	0
7516	HLWT	7
12621	HLWT	5
7680	HLWT	0
4585	HLWT	4
12380	HLWT	19
7857	HLWT	1
5612	HLWT	0
6844	HLWT	0
5900	HLWT	2
16604	HLWT	5
7893	HLWT	3
7110	HLWT	4
17568	HLWT	11
6791	HLWT	7
11853	HLWT	0
5152	HLWT	1
3836	HLWT	0
10442	HLWT	9
6429	HLWT	2
8775	HLWT	1
12245	HLWT	4
8139	HLWT	2
28035	HLWT	0
5024	HLWT	1
7086	HLWT	5
7721	HLWT	1
8696	HLWT	5
6726	HLWT	5
9178	HLWT	0
9967	HLWT	0
7492	HLWT	0
6785	HLWT	2
3938	HLWT	1
9102	HLWT	7
15759	HLWT	3
7690	HLWT	0
5663	HLWT	6
11425	HLWT	2
3533	HLWT	1
5480	HLWT	1
9166	HLWT	6
14438	HLWT	0
7800	HLWT	1
5886	HLWT	0
11465	HLWT	2
554	HLWT	0
7044	HLWT	1
16788	HLWT	0
2440	HLWT	1
5872	HLWT	3
11720	HLWT	2
8471	HLWT	2
20097	HLWT	0
6939	HLWT	0
9418	HLWT	4
17568	HLWT	0
9542	HLWT	2
6225	HLWT	4
8517	HLWT	5
7137	HLWT	1
17344	HLWT	5
13452	HLWT	0
2848	HLWT	2
5864	HLWT	2
9699	HLWT	1
13516	HLWT	4
6499	HLWT	0
16324	HLWT	2
8787	HLWT	4
4913	HLWT	3
7901	HLWT	4
13518	HLWT	0
7877	HLWT	8
2204	HLWT	1
11245	HLWT	2
8744	HLWT	1
3851	HLWT	2
4204	HLWT	0
9972	HLWT	2
3240	HLWT	3
12482	HLWT	9
9586	HLWT	4
12114	HLWT	0
8024	HLWT	0
7338	HLWT	2
8996	HLWT	6
8397	HLWT	2
9903	HLWT	1
5444	HLWT	4
41355	HLWT	0
6074	HLWT	1
6142	HLWT	0
11144	HLWT	1
7716	HLWT	1
6951	HLWT	1
8246	HLWT	2
12772	HLWT	0
18820	HLWT	0
4309	HLWT	0
6101	HLWT	1
15200	HLWT	3
6340	HLWT	7
19424	HLWT	0
9653	HLWT	2
16830	HLWT	0
9748	HLWT	6
6411	HLWT	1
6294	HLWT	3
13440	HLWT	6
5806	HLWT	4
8345	HLWT	1
19173	HLWT	2
11108	HLWT	0
17013	HLWT	0
14303	HLWT	4
7770	HLWT	4
12181	HLWT	14
6487	HLWT	1
11624	HLWT	0
12573	HLWT	0
17353	HLWT	0
6253	HLWT	3
6714	HLWT	2
6897	HLWT	4
7465	HLWT	3
9925	HLWT	3
9058	HLWT	2
9219	HLWT	0
17908	HLWT	1
6317	HLWT	3
8848	HLWT	2
7518	HLWT	0
7928	HLWT	0
12065	HLWT	2
9863	HLWT	7
9066	HLWT	13
8155	HLWT	7
12498	HLWT	7
6132	HLWT	4
8888	HLWT	0
10067	HLWT	2
2230	HLWT	0
14425	HLWT	13
1200	HLWT	0
7762	HLWT	1
19408	HLWT	0
8393	HLWT	0
14928	HLWT	0
6692	HLWT	1
4946	HLWT	0
3360	HLWT	0
12783	HLWT	0
5292	HLWT	0
6735	HLWT	1
10444	HLWT	0
11622	HLWT	0
5898	HLWT	7
16014	HLWT	2
11763	HLWT	3
17661	HLWT	0
8620	HLWT	7
11216	HLWT	5
9184	HLWT	11
9749	HLWT	2
4636	HLWT	0
6462	HLWT	1
6379	HLWT	0
5319	HLWT	1
6728	HLWT	4
8060	HLWT	1
6693	HLWT	4
5014	HLWT	6
6082	HLWT	1
4646	HLWT	0
8127	HLWT	2
6537	HLWT	0
7058	HLWT	4
13785	HLWT	1
7092	HLWT	1
17532	HLWT	2
7133	HLWT	1
4985	HLWT	2
9407	HLWT	13
12675	HLWT	0
914	HLWT	0
12674	HLWT	4
6854	HLWT	3
7228	HLWT	4
8003	HLWT	0
13851	HLWT	27
7932	HLWT	0
9833	HLWT	11
5174	HLWT	0
8823	HLWT	5
7907	HLWT	7
5614	HLWT	1
7366	HLWT	6
8604	HLWT	3
4744	HLWT	6
8248	HLWT	0
7949	HLWT	0
9343	HLWT	7
19455	HLWT	5
7898	HLWT	1
4177	HLWT	2
6922	HLWT	3
7843	HLWT	0
5840	HLWT	2
13423	HLWT	2
6259	HLWT	1
11065	HLWT	3
10317	HLWT	0
10160	HLWT	9
14223	HLWT	2
1852	HLWT	0
8568	HLWT	5
4097	HLWT	1
5768	HLWT	2
6684	HLWT	1
13802	HLWT	0
6943	HLWT	2
11265	HLWT	21
11822	HLWT	5
2895	HLWT	0
6500	HLWT	2
14807	HLWT	1
12916	HLWT	1
7015	HLWT	0
6151	HLWT	1
10173	HLWT	0
8105	HLWT	0
10119	HLWT	9
10697	HLWT	0
6346	HLWT	3
5149	HLWT	0
9398	HLWT	4
8800	HLWT	4
9586	HLWT	4
4713	HLWT	0
10093	HLWT	3
10055	HLWT	0
6855	HLWT	1
8444	HLWT	0
8907	HLWT	0
3685	HLWT	1
6481	HLWT	1
14936	HLWT	6
10094	HLWT	0
6971	HLWT	3
7765	HLWT	1
7017	HLWT	0
6231	HLWT	0
8239	HLWT	1
3655	HLWT	5
5620	HLWT	1
8146	HLWT	9
7420	HLWT	4
3858	HLWT	0
6806	HLWT	2
4565	HLWT	0
7396	HLWT	0
12925	HLWT	0
8550	HLWT	3
6359	HLWT	0
8217	HLWT	4
11966	HLWT	15
3879	HLWT	1
6227	HLWT	2
6941	HLWT	2
4561	HLWT	1
9361	HLWT	0
11457	HLWT	5
10273	HLWT	0
20464	HLWT	5
11687	HLWT	13
5212	HLWT	1
13415	HLWT	7
5094	HLWT	1
6338	HLWT	2
7518	HLWT	4
1576	HLWT	0
10220	HLWT	3
19914	HLWT	2
7923	HLWT	2
12091	HLWT	1
3789	HLWT	0
6506	HLWT	5
6925	HLWT	1
7864	HLWT	0
3855	HLWT	2
14770	HLWT	2
5228	HLWT	1
8201	HLWT	3
12716	HLWT	2
12074	HLWT	5
5137	HLWT	0
7752	HLWT	3
6505	HLWT	7
6089	HLWT	0
7388	HLWT	2
18778	HLWT	0
21111	HLWT	1
3420	HLWT	1
8330	HLWT	3
5932	HLWT	1
7718	HLWT	4
6863	HLWT	0
8430	HLWT	4
17243	HLWT	10
5549	HLWT	2
8509	HLWT	3
8092	HLWT	10
8018	HLWT	5
8939	HLWT	4
7628	HLWT	0
4360	HLWT	2
8573	HLWT	5
9550	HLWT	3
8627	HLWT	6
5893	HLWT	0
