nCount_RNA	limbtype	Pitx1
12009	HLWT	1
12896	HLWT	3
13287	HLWT	0
10241	HLWT	2
12288	HLWT	6
38585	HLWT	0
23283	HLWT	0
5968	HLWT	1
7286	HLWT	2
11596	HLWT	9
13291	HLWT	2
15236	HLWT	6
11932	HLWT	1
5531	HLWT	1
11350	HLWT	2
8469	HLWT	2
14356	HLWT	4
11018	HLWT	0
28709	HLWT	2
17826	HLWT	0
39397	HLWT	0
19665	HLWT	5
13935	HLWT	2
17875	HLWT	2
12538	HLWT	6
20096	HLWT	0
12336	HLWT	7
6380	HLWT	3
10160	HLWT	2
14995	HLWT	5
10690	HLWT	5
11735	HLWT	0
8647	HLWT	6
8656	HLWT	0
15771	HLWT	0
12082	HLWT	1
14894	HLWT	2
33011	HLWT	5
21382	HLWT	16
11419	HLWT	7
12437	HLWT	6
5588	HLWT	0
9836	HLWT	5
17106	HLWT	11
13543	HLWT	0
14374	HLWT	0
5880	HLWT	0
11299	HLWT	3
10774	HLWT	2
4911	HLWT	0
17297	HLWT	4
18852	HLWT	17
11939	HLWT	0
11775	HLWT	1
31853	HLWT	0
17814	HLWT	0
33656	HLWT	12
8637	HLWT	3
11225	HLWT	2
16372	HLWT	0
11985	HLWT	6
11643	HLWT	1
21247	HLWT	0
8873	HLWT	6
12566	HLWT	0
12341	HLWT	4
16757	HLWT	10
15521	HLWT	2
7616	HLWT	0
12223	HLWT	6
20711	HLWT	2
15209	HLWT	10
16372	HLWT	3
20914	HLWT	8
8196	HLWT	6
17736	HLWT	4
21053	HLWT	1
10001	HLWT	3
13567	HLWT	5
9268	HLWT	0
12353	HLWT	2
6829	HLWT	2
10010	HLWT	2
26697	HLWT	1
30542	HLWT	16
8171	HLWT	1
7418	HLWT	4
11545	HLWT	5
8385	HLWT	4
20243	HLWT	0
10383	HLWT	0
6796	HLWT	5
9451	HLWT	9
2254	HLWT	0
11607	HLWT	2
25501	HLWT	0
11574	HLWT	0
16417	HLWT	0
12378	HLWT	0
31481	HLWT	5
13087	HLWT	16
9718	HLWT	17
10531	HLWT	0
12381	HLWT	15
19002	HLWT	9
8162	HLWT	2
9253	HLWT	0
15481	HLWT	0
6308	HLWT	1
8373	HLWT	0
9575	HLWT	7
11825	HLWT	1
16210	HLWT	1
17761	HLWT	11
21473	HLWT	2
9712	HLWT	6
20770	HLWT	0
15230	HLWT	11
18783	HLWT	3
21116	HLWT	2
16470	HLWT	5
9824	HLWT	1
8991	HLWT	4
22239	HLWT	2
19004	HLWT	19
10438	HLWT	4
10481	HLWT	5
